,Claimfile,Density,TigrisXLfile,agrclaim,inbreiding,natureclaim,naturepolicymap,policyweightnature,pumping,recvalue,restrictionnatureweight,spreidingratio,valuenaturelocation
0,False,True,1,True,True,3,2,2,True,True,True,True,1
1,False,False,3,False,False,2,1,4,True,False,False,True,2
2,True,True,2,True,False,2,1,4,False,True,False,False,3
3,True,False,3,False,True,2,3,3,False,True,True,False,2
4,True,True,3,True,False,3,2,2,True,False,True,False,2
5,True,False,2,True,False,3,3,1,False,True,False,False,2
6,False,False,3,True,True,3,3,3,True,False,True,True,1
7,True,True,2,True,False,2,1,2,True,True,False,False,3
8,False,True,2,True,True,1,3,3,False,False,True,False,3
9,False,True,3,False,True,3,3,2,True,True,False,False,1
10,False,False,3,True,True,3,3,3,True,True,True,False,1
11,False,False,2,True,False,3,3,4,True,False,False,False,2
12,True,True,2,False,False,3,3,4,True,False,False,True,3
13,True,True,1,True,False,1,1,3,False,True,True,True,3
14,False,False,4,False,True,1,3,4,False,True,False,False,2
15,False,False,2,True,False,3,1,1,False,True,True,True,1
16,False,False,4,True,True,3,2,1,False,True,True,False,3
17,False,False,2,True,True,3,3,4,True,True,True,False,2
18,True,False,3,False,True,3,2,1,True,False,False,False,2
19,False,True,2,True,False,2,3,1,False,False,False,True,2
20,True,True,2,False,False,1,2,2,True,False,True,True,1
21,True,False,4,True,True,3,1,4,True,False,False,True,2
22,False,False,3,True,False,3,3,2,False,False,False,True,2
23,True,False,3,False,False,2,2,1,True,False,False,True,2
24,True,True,3,True,False,1,3,2,True,True,False,False,2
25,True,True,3,True,True,1,1,1,True,False,False,False,1
26,True,True,2,True,False,1,2,4,False,False,False,False,3
27,False,False,4,False,False,3,2,2,True,True,True,False,2
28,False,False,3,False,False,1,2,4,False,True,True,True,3
29,False,True,3,True,True,1,2,3,True,True,False,False,3
30,True,True,4,True,True,1,1,2,False,True,True,False,2
31,True,True,2,False,True,3,3,3,True,False,False,False,3
32,False,False,4,True,True,3,2,4,False,False,True,False,2
33,False,True,1,False,False,3,3,2,False,True,False,True,3
34,False,False,4,True,True,3,3,3,True,False,False,True,2
35,False,True,4,False,True,2,1,1,False,False,False,False,3
36,True,False,1,True,False,2,3,1,True,False,True,True,2
37,False,False,3,False,True,2,3,3,True,True,True,False,3
38,False,True,1,True,True,2,1,1,False,True,True,False,1
39,True,False,3,False,False,3,2,3,True,True,True,False,1
40,False,False,3,True,True,2,2,1,True,True,True,False,2
41,True,False,1,False,False,3,3,4,False,True,True,True,1
42,True,True,2,True,True,3,1,2,False,False,False,True,3
43,True,False,1,False,False,3,1,1,True,True,False,False,2
44,True,False,4,True,False,2,3,2,False,True,True,False,2
45,True,False,3,False,True,2,3,2,True,True,False,False,3
